Listing...
2ping/jammy,now 4.5-1 all [installed]
linux-headers-5.15.0-25/jammy,now 5.15.0-25.25 all [installed]
linux-libc-dev/jammy,now 5.15.0-25.25 armhf [installed]
lmodern/jammy,now 2.004.5-6.1 all [installed]
locales/jammy,now 2.35-0ubuntu3 all [installed]
lockfile-progs/jammy,now 0.1.19build1 armhf [installed]
login/jammy,now 1:4.8.1-2ubuntu2 armhf [installed]
logrotate/jammy,now 3.19.0-1ubuntu1 armhf [installed]
logsave/jammy,now 1.46.5-2ubuntu1 armhf [installed]
lsb-base/jammy,now 11.1.0ubuntu4 all [installed]
lsb-release/jammy,now 11.1.0ubuntu4 all [installed]
lsof/jammy,now 4.93.2+dfsg-1.1build2 armhf [installed]
lto-disabled-list/jammy,now 24 all [installed]
m4/jammy,now 1.4.18-5ubuntu2 armhf [installed]
mailcap/jammy,now 3.70+nmu1ubuntu1 all [installed]
make/jammy,now 4.3-4.1build1 armhf [installed]
makedev/jammy,now 2.3.1-95 all [installed]
man-db/jammy,now 2.10.2-1 armhf [installed]
manpages-dev/jammy,now 5.10-1ubuntu1 all [installed]
manpages/jammy,now 5.10-1ubuntu1 all [installed]
mawk/jammy,now 1.3.4.20200120-3 armhf [installed]
media-types/jammy,now 7.0.0 all [installed]
menu/jammy,now 2.1.47ubuntu4 armhf [installed]
mesa-common-dev/jammy,now 22.0.1-1ubuntu2 armhf [installed]
mesa-va-drivers/jammy,now 22.0.1-1ubuntu2 armhf [installed]
mesa-vdpau-drivers/jammy,now 22.0.1-1ubuntu2 armhf [installed]
mesa-vulkan-drivers/jammy,now 22.0.1-1ubuntu2 armhf [installed]
mime-support/jammy,now 3.66 all [installed]
mount/jammy,now 2.37.2-4ubuntu3 armhf [installed]
mpi-default-bin/jammy,now 1.14 armhf [installed]
mpi-default-dev/jammy,now 1.14 armhf [installed]
mysql-common/jammy,now 5.8+1.0.8 all [installed]
nano/jammy,now 6.2-1 armhf [installed]
ncal/jammy,now 12.1.7+nmu3ubuntu2 armhf [installed]
ncdu/jammy,now 1.15.1-1 armhf [installed]
ncurses-base/jammy,now 6.3-2 all [installed]
ncurses-bin/jammy,now 6.3-2 armhf [installed]
ncurses-term/jammy,now 6.3-2 all [installed]
net-tools/jammy,now 1.60+git20181103.0eebece-1ubuntu5 armhf [installed]
netbase/jammy,now 6.3 all [installed]
netcat-openbsd/jammy,now 1.218-4ubuntu1 armhf [installed]
netplan.io/jammy,now 0.104-0ubuntu2 armhf [installed]
networkd-dispatcher/jammy,now 2.1-2 all [installed]
nftables/jammy,now 1.0.2-1ubuntu2 armhf [installed]
nodejs-doc/jammy,now 12.22.9~dfsg-1ubuntu3 all [installed]
nodejs/jammy,now 12.22.9~dfsg-1ubuntu3 armhf [installed]
ntpdate/jammy,now 1:4.2.8p15+dfsg-1ubuntu2 armhf [installed]
ocl-icd-dev/jammy,now 2.2.14-3 armhf [installed]
ocl-icd-libopencl1/jammy,now 2.2.14-3 armhf [installed]
ocl-icd-opencl-dev/jammy,now 2.2.14-3 armhf [installed]
opencl-c-headers/jammy,now 3.0~2022.01.04-1 all [installed]
opencl-clhpp-headers/jammy,now 3.0~2.0.15-1ubuntu1 all [installed]
opencl-headers/jammy,now 3.0~2022.01.04-1 all [installed]
opencv-data/jammy,now 4.5.4+dfsg-9ubuntu4 all [installed]
openjdk-8-jdk-headless/jammy,now 8u312-b07-0ubuntu1 armhf [installed]
openjdk-8-jdk/jammy,now 8u312-b07-0ubuntu1 armhf [installed]
openjdk-8-jre-headless/jammy,now 8u312-b07-0ubuntu1 armhf [installed]
openjdk-8-jre/jammy,now 8u312-b07-0ubuntu1 armhf [installed]
openmpi-bin/jammy,now 4.1.2-2ubuntu1 armhf [installed]
openmpi-common/jammy,now 4.1.2-2ubuntu1 all [installed]
openssh-client/jammy,now 1:8.9p1-3 armhf [installed]
openssh-server/jammy,now 1:8.9p1-3 armhf [installed]
openssh-sftp-server/jammy,now 1:8.9p1-3 armhf [installed]
openssl/jammy,now 3.0.2-0ubuntu1 armhf [installed]
packagekit-tools/jammy,now 1.2.5-2ubuntu2 armhf [installed]
packagekit/jammy,now 1.2.5-2ubuntu2 armhf [installed]
pandoc-data/jammy,now 2.9.2.1-3ubuntu2 all [installed]
pandoc/jammy,now 2.9.2.1-3ubuntu2 armhf [installed]
pango1.0-tools/jammy,now 1.50.6+ds-2 armhf [installed]
passwd/jammy,now 1:4.8.1-2ubuntu2 armhf [installed]
patch/jammy,now 2.7.6-7build2 armhf [installed]
perl-base/jammy,now 5.34.0-3ubuntu1 armhf [installed]
perl-modules-5.34/jammy,now 5.34.0-3ubuntu1 all [installed]
perl-openssl-defaults/jammy,now 5build2 armhf [installed]
perl/jammy,now 5.34.0-3ubuntu1 armhf [installed]
pinentry-curses/jammy,now 1.1.1-1build2 armhf [installed]
pkexec/jammy,now 0.105-33 armhf [installed]
pkg-config/jammy,now 0.29.2-1ubuntu3 armhf [installed]
po-debconf/jammy,now 1.0.21+nmu1 all [installed]
policykit-1/jammy,now 0.105-33 armhf [installed]
polkitd/jammy,now 0.105-33 armhf [installed]
poppler-data/jammy,now 0.4.11-1 all [installed]
portaudio19-dev/jammy,now 19.6.0-1.1 armhf [installed]
procps/jammy,now 2:3.3.17-6ubuntu2 armhf [installed]
proj-bin/jammy,now 8.2.1-1 armhf [installed]
proj-data/jammy,now 8.2.1-1 all [installed]
protobuf-compiler/jammy,now 3.12.4-1ubuntu7 armhf [installed]
psmisc/jammy,now 23.4-2build3 armhf [installed]
publicsuffix/jammy,now 20211207.1025-1 all [installed]
pybind11-dev/jammy,now 2.9.1-2 all [installed]
python-apt-common/jammy,now 2.3.0ubuntu2 all [installed]
python-babel-localedata/jammy,now 2.8.0+dfsg.1-7 all [installed]
python-dev-is-python3/jammy,now 3.9.2-2 all [installed]
python-gi-dev/jammy,now 3.42.0-3build1 armhf [installed]
python-is-python3/jammy,now 3.9.2-2 all [installed]
python-matplotlib-data/jammy,now 3.5.1-2build1 all [installed]
python-odf-doc/jammy,now 1.4.2-1 all [installed]
python-odf-tools/jammy,now 1.4.2-1 all [installed]
python-pkg-resources/jammy,now 44.1.1-1.2 all [installed]
python-setuptools/jammy,now 44.1.1-1.2 all [installed]
python-tables-data/jammy,now 3.7.0-2build1 all [installed]
python2-minimal/jammy,now 2.7.18-3 armhf [installed]
python2.7-dev/jammy,now 2.7.18-13ubuntu1 armhf [installed]
python2.7-minimal/jammy,now 2.7.18-13ubuntu1 armhf [installed]
python2.7/jammy,now 2.7.18-13ubuntu1 armhf [installed]
python2/jammy,now 2.7.18-3 armhf [installed]
python3-appdirs/jammy,now 1.4.4-2 all [installed]
python3-apport/jammy,now 2.20.11-0ubuntu82 all [installed]
python3-apt/jammy,now 2.3.0ubuntu2 armhf [installed]
python3-attr/jammy,now 21.2.0-1 all [installed]
python3-babel/jammy,now 2.8.0+dfsg.1-7 all [installed]
python3-bcrypt/jammy,now 3.2.0-1build1 armhf [installed]
python3-blinker/jammy,now 1.4+dfsg1-0.4 all [installed]
python3-blosc/jammy,now 1.9.2+ds1-3build2 armhf [installed]
python3-bottleneck/jammy,now 1.3.2+ds1-2build1 armhf [installed]
python3-brotli/jammy,now 1.0.9-2build6 armhf [installed]
python3-bs4/jammy,now 4.10.0-2 all [installed]
python3-certifi/jammy,now 2020.6.20-1 all [installed]
python3-cffi-backend/jammy,now 1.15.0-1build2 armhf [installed]
python3-cffi/jammy,now 1.15.0-1build2 all [installed]
python3-chardet/jammy,now 4.0.0-1 all [installed]
python3-click/jammy,now 8.0.3-1 all [installed]
python3-cloudpickle/jammy,now 2.0.0-1 all [installed]
python3-colorama/jammy,now 0.4.4-1 all [installed]
python3-cryptography/jammy,now 3.4.8-1ubuntu2 armhf [installed]
python3-cycler/jammy,now 0.11.0-1 all [installed]
python3-dask/jammy,now 2022.01.0+dfsg-1ubuntu1 all [installed]
python3-dateutil/jammy,now 2.8.1-6 all [installed]
python3-dbus/jammy,now 1.2.18-3build1 armhf [installed]
python3-decorator/jammy,now 4.4.2-0ubuntu1 all [installed]
python3-defusedxml/jammy,now 0.7.1-1 all [installed]
python3-dev/jammy,now 3.10.4-0ubuntu2 armhf [installed]
python3-distributed/jammy,now 2022.01.0+ds.1-1 all [installed]
python3-distro-info/jammy,now 1.1build1 all [installed]
python3-distro/jammy,now 1.7.0-1 all [installed]
python3-distutils/jammy,now 3.10.4-0ubuntu1 all [installed]
python3-dnspython/jammy,now 2.1.0-1ubuntu1 all [installed]
python3-dropbox/jammy,now 11.26.0-1 all [installed]
python3-et-xmlfile/jammy,now 1.0.1-2.1 all [installed]
python3-fonttools/jammy,now 4.29.1-2build1 armhf [installed]
python3-fs/jammy,now 2.4.12-1 all [installed]
python3-fsspec/jammy,now 2022.01.0-1 all [installed]
python3-fusepy/jammy,now 3.0.1-2 all [installed]
python3-gi/jammy,now 3.42.0-3build1 armhf [installed]
python3-gpg/jammy,now 1.16.0-1.2ubuntu4 armhf [installed]
python3-greenlet/jammy,now 1.1.2-3build1 armhf [installed]
python3-heapdict/jammy,now 1.0.1-1 all [installed]
python3-html5lib/jammy,now 1.1-3 all [installed]
python3-httplib2/jammy,now 0.20.2-2 all [installed]
python3-idna/jammy,now 3.3-1 all [installed]
python3-imageio/jammy,now 2.4.1-4 all [installed]
python3-importlib-metadata/jammy,now 4.6.4-1 all [installed]
python3-iniconfig/jammy,now 1.1.1-2 all [installed]
python3-jdcal/jammy,now 1.0-1.3 all [installed]
python3-jeepney/jammy,now 0.7.1-3 all [installed]
python3-jinja2/jammy,now 3.0.3-1 all [installed]
python3-jwt/jammy,now 2.3.0-1 all [installed]
python3-keyring/jammy,now 23.5.0-1 all [installed]
python3-kiwisolver/jammy,now 1.3.2-1build1 armhf [installed]
python3-launchpadlib/jammy,now 1.10.16-1 all [installed]
python3-lazr.restfulclient/jammy,now 0.14.4-1 all [installed]
python3-lazr.uri/jammy,now 1.0.6-2 all [installed]
python3-ldb/now 2:2.4.4-0ubuntu0.1 armhf [installed,local]
python3-lib2to3/jammy,now 3.10.4-0ubuntu1 all [installed]
python3-libarchive-c/jammy,now 2.9-0.1 all [installed]
python3-locket/jammy,now 0.2.1-1 all [installed]
python3-lxml/jammy,now 4.8.0-1build1 armhf [installed]
python3-lz4/jammy,now 3.1.3+dfsg-1build3 armhf [installed]
python3-markdown/jammy,now 3.3.6-1 all [installed]
python3-markupsafe/jammy,now 2.0.1-2build1 armhf [installed]
python3-matplotlib/jammy,now 3.5.1-2build1 armhf [installed]
python3-minimal/jammy,now 3.10.4-0ubuntu2 armhf [installed]
python3-more-itertools/jammy,now 8.10.0-2 all [installed]
python3-mpmath/jammy,now 1.2.1-2 all [installed]
python3-msgpack/jammy,now 1.0.3-1build1 armhf [installed]
python3-nacl/jammy,now 1.5.0-2 armhf [installed]
python3-netifaces/jammy,now 0.11.0-1build2 armhf [installed]
python3-networkx/jammy,now 2.4-4ubuntu2 all [installed]
python3-numexpr/jammy,now 2.8.1-1build1 armhf [installed]
python3-numpy/jammy,now 1:1.21.5-1build2 armhf [installed]
python3-oauthlib/jammy,now 3.2.0-1 all [installed]
python3-odf/jammy,now 1.4.2-1 all [installed]
python3-olefile/jammy,now 0.46-3 all [installed]
python3-opencv/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
python3-openpyxl/jammy,now 3.0.9-1 all [installed]
python3-packaging/jammy,now 21.3-1 all [installed]
python3-pandas-lib/jammy,now 1.3.5+dfsg-3 armhf [installed]
python3-pandas/jammy,now 1.3.5+dfsg-3 all [installed]
python3-paramiko/jammy,now 2.9.3-0ubuntu1 all [installed]
python3-partd/jammy,now 1.2.0-1 all [installed]
python3-pil.imagetk/jammy,now 9.0.1-1build1 armhf [installed]
python3-pil/jammy,now 9.0.1-1build1 armhf [installed]
python3-pip-whl/jammy,now 22.0.2+dfsg-1 all [installed]
python3-pip/jammy,now 22.0.2+dfsg-1 all [installed]
python3-pkg-resources/jammy,now 59.6.0-1.2 all [installed]
python3-pluggy/jammy,now 0.13.0-7.1 all [installed]
python3-ply/jammy,now 3.11-5 all [installed]
python3-problem-report/jammy,now 2.20.11-0ubuntu82 all [installed]
python3-psutil/jammy,now 5.9.0-1build1 armhf [installed]
python3-py/jammy,now 1.10.0-1 all [installed]
python3-pycparser/jammy,now 2.21-1 all [installed]
python3-pydantic/jammy,now 1.8.2-1 all [installed]
python3-pygit2/jammy,now 1.6.1+dfsg-2 armhf [installed]
python3-pygments/jammy,now 2.11.2+dfsg-2 all [installed]
python3-pygraphviz/jammy,now 1.7-3build1 armhf [installed]
python3-pyparsing/jammy,now 2.4.7-1 all [installed]
python3-pytest-sourceorder/jammy,now 0.5.1-2 all [installed]
python3-pytest/jammy,now 6.2.5-1ubuntu2 all [installed]
python3-pywt/jammy,now 1.1.1-1ubuntu2 armhf [installed]
python3-requests-toolbelt/jammy,now 0.9.1-1 all [installed]
python3-requests/jammy,now 2.25.1+dfsg-2 all [installed]
python3-retrying/jammy,now 1.3.3-4 all [installed]
python3-samba/jammy,now 2:4.15.5~dfsg-0ubuntu5 armhf [installed]
python3-scipy/jammy,now 1.8.0-1exp2ubuntu1 armhf [installed]
python3-secretstorage/jammy,now 3.3.1-1 all [installed]
python3-setuptools-whl/jammy,now 59.6.0-1.2 all [installed]
python3-setuptools/jammy,now 59.6.0-1.2 all [installed]
python3-six/jammy,now 1.16.0-3ubuntu1 all [installed]
python3-skimage-lib/jammy,now 0.18.3-2build1 armhf [installed]
python3-skimage/jammy,now 0.18.3-2build1 all [installed]
python3-software-properties/jammy,now 0.99.22 all [installed]
python3-sortedcontainers/jammy,now 2.1.0-2 all [installed]
python3-soupsieve/jammy,now 2.3.1-1 all [installed]
python3-sqlalchemy-ext/jammy,now 1.4.31+ds1-1build1 armhf [installed]
python3-sqlalchemy/jammy,now 1.4.31+ds1-1build1 all [installed]
python3-stone/jammy,now 3.3.1-1 all [installed]
python3-sympy/jammy,now 1.9-1 all [installed]
python3-systemd/jammy,now 234-3ubuntu2 armhf [installed]
python3-tables-lib/jammy,now 3.7.0-2build1 armhf [installed]
python3-tables/jammy,now 3.7.0-2build1 all [installed]
python3-talloc/jammy,now 2.3.3-2build1 armhf [installed]
python3-tblib/jammy,now 1.7.0-2 all [installed]
python3-tdb/jammy,now 1.4.5-2build1 armhf [installed]
python3-tifffile/jammy,now 20220209-1 all [installed]
python3-tk/jammy,now 3.10.4-0ubuntu1 armhf [installed]
python3-toml/jammy,now 0.10.2-1 all [installed]
python3-toolz/jammy,now 0.11.2-1 all [installed]
python3-tornado/jammy,now 6.1.0-3build1 armhf [installed]
python3-transitions/jammy,now 0.8.10+3-1 all [installed]
python3-tz/jammy,now 2022.1-1 all [installed]
python3-ufolib2/jammy,now 0.13.1+dfsg1-1 all [installed]
python3-unicodedata2/jammy,now 14.0.0+ds-8 armhf [installed]
python3-urllib3/jammy,now 1.26.5-1~exp1 all [installed]
python3-uvloop/jammy,now 0.16.0+ds1-2build1 armhf [installed]
python3-venv/jammy,now 3.10.4-0ubuntu2 armhf [installed]
python3-wadllib/jammy,now 1.3.6-1 all [installed]
python3-webencodings/jammy,now 0.5.1-4 all [installed]
python3-wheel/jammy,now 0.37.1-2 all [installed]
python3-xlwt/jammy,now 1.3.0-3 all [installed]
python3-yaml/jammy,now 5.4.1-1ubuntu1 armhf [installed]
python3-zict/jammy,now 2.0.0-1 all [installed]
python3-zipp/jammy,now 1.0.0-3 all [installed]
python3-zmq/jammy,now 22.3.0-1build1 armhf [installed]
python3.10-dev/jammy,now 3.10.4-3 armhf [installed]
python3.10-minimal/jammy,now 3.10.4-3 armhf [installed]
python3.10-venv/jammy,now 3.10.4-3 armhf [installed]
python3.10/jammy,now 3.10.4-3 armhf [installed]
python3/jammy,now 3.10.4-0ubuntu2 armhf [installed]
rake/jammy,now 13.0.6-2 all [installed]
rapidjson-dev/jammy,now 1.1.0+dfsg2-7 all [installed]
read-edid/jammy,now 3.0.2-1.1 armhf [installed]
readline-common/jammy,now 8.1.2-1 all [installed]
rename/jammy,now 1.30-1 all [installed]
resolvconf/jammy,now 1.84ubuntu1 all [installed]
rpcsvc-proto/jammy,now 1.4.2-0ubuntu6 armhf [installed]
rsync/jammy,now 3.2.3-8ubuntu3 armhf [installed]
rsyslog/jammy,now 8.2112.0-2ubuntu2 armhf [installed]
ruby-net-telnet/jammy,now 0.1.1-2 all [installed]
ruby-rubygems/jammy,now 3.3.5-2 all [installed]
ruby-xmlrpc/jammy,now 0.3.2-1 all [installed]
ruby3.0/jammy,now 3.0.2-7ubuntu2 armhf [installed]
ruby/jammy,now 1:3.0~exp1 armhf [installed]
rubygems-integration/jammy,now 1.18 all [installed]
samba-common-bin/jammy,now 2:4.15.5~dfsg-0ubuntu5 armhf [installed]
samba-common/jammy,now 2:4.15.5~dfsg-0ubuntu5 all [installed]
samba-dsdb-modules/jammy 2:4.15.5~dfsg-0ubuntu5 armhf [upgradable from: 2:4.15.5~dfsg-0ubuntu5]
samba-libs/jammy,now 2:4.15.5~dfsg-0ubuntu5 armhf [installed]
samba-vfs-modules/jammy,now 2:4.15.5~dfsg-0ubuntu5 armhf [installed]
samba/jammy,now 2:4.15.5~dfsg-0ubuntu5 armhf [installed]
sed/jammy,now 4.8-1ubuntu2 armhf [installed]
sensible-utils/jammy,now 0.0.17 all [installed]
session-migration/jammy,now 0.3.6 armhf [installed]
sgml-base/jammy,now 1.30 all [installed]
shared-mime-info/jammy,now 2.1-2 armhf [installed]
software-properties-common/jammy,now 0.99.22 all [installed]
sound-theme-freedesktop/jammy,now 0.8-2ubuntu1 all [installed]
ssh-import-id/jammy,now 5.11-0ubuntu1 all [installed]
ssh/jammy,now 1:8.9p1-3 all [installed]
strace/jammy,now 5.16-0ubuntu3 armhf [installed]
sudo/jammy,now 1.9.9-1ubuntu2 armhf [installed]
swig3.0/jammy,now 3.0.12-2.2ubuntu1 armhf [installed]
swig4.0/jammy,now 4.0.2-1ubuntu1 armhf [installed]
swig/jammy,now 4.0.2-1ubuntu1 all [installed]
systemd-sysv/jammy,now 249.11-0ubuntu3 armhf [installed]
systemd-timesyncd/jammy,now 249.11-0ubuntu3 armhf [installed]
systemd/jammy,now 249.11-0ubuntu3 armhf [installed]
sysvinit-utils/jammy,now 3.01-1ubuntu1 armhf [installed]
tar/jammy,now 1.34+dfsg-1build3 armhf [installed]
tcl-dev/jammy,now 8.6.11+1build2 armhf [installed]
tcl8.6-dev/jammy,now 8.6.12+dfsg-1build1 armhf [installed]
tcl8.6/jammy,now 8.6.12+dfsg-1build1 armhf [installed]
tcl/jammy,now 8.6.11+1build2 armhf [installed]
tcpd/jammy,now 7.6.q-31build2 armhf [installed]
tdb-tools/jammy,now 1.4.5-2build1 armhf [installed]
tex-common/jammy,now 6.17 all [installed]
texinfo/jammy,now 6.8-4build1 armhf [installed]
tk-dev/jammy,now 8.6.11+1build2 armhf [installed]
tk8.6-blt2.5/jammy,now 2.5.3+dfsg-4.1build2 armhf [installed]
tk8.6-dev/jammy,now 8.6.12-1build1 armhf [installed]
tk8.6/jammy,now 8.6.12-1build1 armhf [installed]
tk/jammy,now 8.6.11+1build2 armhf [installed]
tree/jammy,now 2.0.2-1 armhf [installed]
tzdata/jammy,now 2022a-0ubuntu1 all [installed]
ubuntu-advantage-pro/jammy,now 27.7~22.04.1 all [installed]
ubuntu-advantage-tools/jammy,now 27.7~22.04.1 armhf [installed]
ubuntu-keyring/jammy,now 2021.03.26 all [installed]
ubuntu-minimal/jammy,now 1.481 armhf [installed]
ubuntu-mono/jammy,now 20.10-0ubuntu2 all [installed]
ucf/jammy,now 3.0043 all [installed]
udev/jammy,now 249.11-0ubuntu3 armhf [installed]
unattended-upgrades/jammy,now 2.8ubuntu1 all [installed]
unicode-data/jammy,now 14.0.0-1.1 all [installed]
unixodbc-common/jammy,now 2.3.9-5 all [installed]
unzip/jammy,now 6.0-26ubuntu3 armhf [installed]
update-inetd/jammy,now 4.51 all [installed]
usbutils/jammy,now 1:014-1build1 armhf [installed]
usrmerge/jammy,now 25ubuntu2 all [installed]
util-linux/jammy,now 2.37.2-4ubuntu3 armhf [installed]
uuid-dev/jammy,now 2.37.2-4ubuntu3 armhf [installed]
uuid-runtime/jammy,now 2.37.2-4ubuntu3 armhf [installed]
va-driver-all/jammy,now 2.14.0-1 armhf [installed]
valgrind/jammy,now 1:3.18.1-1ubuntu2 armhf [installed]
vdpau-driver-all/jammy,now 1.4-3build2 armhf [installed]
vim-common/jammy,now 2:8.2.3995-1ubuntu2 all [installed]
vim-runtime/jammy,now 2:8.2.3995-1ubuntu2 all [installed]
vim-tiny/jammy,now 2:8.2.3995-1ubuntu2 armhf [installed]
vim/jammy,now 2:8.2.3995-1ubuntu2 armhf [installed]
wget/jammy,now 1.21.2-2ubuntu1 armhf [installed]
whiptail/jammy,now 0.52.21-5ubuntu2 armhf [installed]
wireless-regdb/jammy,now 2021.08.28-0ubuntu1 all [installed]
wireless-tools/jammy,now 30~pre9-13.1ubuntu4 armhf [installed]
wpasupplicant/jammy,now 2:2.10-6 armhf [installed]
x11-apps/jammy,now 7.7+8build2 armhf [installed]
x11-common/jammy,now 1:7.7+23ubuntu2 all [installed]
x11-session-utils/jammy,now 7.7+4build2 armhf [installed]
x11-utils/jammy,now 7.7+5build2 armhf [installed]
x11-xkb-utils/jammy,now 7.7+5build4 armhf [installed]
x11-xserver-utils/jammy,now 7.7+9build1 armhf [installed]
x11proto-core-dev/jammy,now 2021.5-1 all [installed]
x11proto-dev/jammy,now 2021.5-1 all [installed]
x11proto-gl-dev/jammy,now 2021.5-1 all [installed]
x11proto-input-dev/jammy,now 2021.5-1 all [installed]
x11proto-kb-dev/jammy,now 2021.5-1 all [installed]
x11proto-randr-dev/jammy,now 2021.5-1 all [installed]
x11proto-render-dev/jammy,now 2:2021.5-1 all [installed]
x11proto-scrnsaver-dev/jammy,now 2021.5-1 all [installed]
x11proto-xext-dev/jammy,now 2021.5-1 all [installed]
x11proto-xinerama-dev/jammy,now 2021.5-1 all [installed]
xauth/jammy,now 1:1.1-1build2 armhf [installed]
xbitmaps/jammy,now 1.1.1-2.1ubuntu1 all [installed]
xcvt/jammy,now 0.1.1-3 armhf [installed]
xdg-user-dirs/jammy,now 0.17-2ubuntu4 armhf [installed]
xdg-utils/jammy,now 1.1.3-4.1ubuntu1 all [installed]
xfonts-base/jammy,now 1:1.0.5 all [installed]
xfonts-encodings/jammy,now 1:1.0.5-0ubuntu2 all [installed]
xfonts-scalable/jammy,now 1:1.0.3-1.2ubuntu1 all [installed]
xfonts-terminus/jammy,now 4.48-3.1 all [installed]
xfonts-utils/jammy,now 1:7.7+6build2 armhf [installed]
xinit/jammy,now 1.4.1-0ubuntu4 armhf [installed]
xinput/jammy,now 1.6.3-1build2 armhf [installed]
xkb-data/jammy,now 2.33-1 all [installed]
xml-core/jammy,now 0.18+nmu1 all [installed]
xorg-docs-core/jammy,now 1:1.7.1-1.2 all [installed]
xorg-sgml-doctools/jammy,now 1:1.11-1.1 all [installed]
xorg/jammy,now 1:7.7+23ubuntu2 armhf [installed]
xserver-common/jammy,now 2:21.1.3-2ubuntu2 all [installed]
xserver-xorg-core/jammy,now 2:21.1.3-2ubuntu2 armhf [installed]
xserver-xorg-input-all/jammy,now 1:7.7+23ubuntu2 armhf [installed]
xserver-xorg-input-libinput/jammy,now 1.2.1-1 armhf [installed]
xserver-xorg-input-wacom/jammy,now 1:1.0.0-3ubuntu1 armhf [installed]
xserver-xorg-legacy/jammy,now 2:21.1.3-2ubuntu2 armhf [installed]
xserver-xorg-video-all/jammy,now 1:7.7+23ubuntu2 armhf [installed]
xserver-xorg-video-amdgpu/jammy,now 22.0.0-1build1 armhf [installed]
xserver-xorg-video-ati/jammy,now 1:19.1.0-2build3 armhf [installed]
xserver-xorg-video-fbdev/jammy,now 1:0.5.0-2build1 armhf [installed]
xserver-xorg-video-nouveau/jammy,now 1:1.0.17-2build1 armhf [installed]
xserver-xorg-video-radeon/jammy,now 1:19.1.0-2build3 armhf [installed]
xserver-xorg-video-vesa/jammy,now 1:2.5.0-1build4 armhf [installed]
xserver-xorg/jammy,now 1:7.7+23ubuntu2 armhf [installed]
xterm/jammy,now 372-1ubuntu1 armhf [installed]
xtrans-dev/jammy,now 1.4.0-1 all [installed]
xxd/jammy,now 2:8.2.3995-1ubuntu2 armhf [installed]
xz-utils/jammy,now 5.2.5-2ubuntu1 armhf [installed]
zip/jammy,now 3.0-12build2 armhf [installed]
zlib1g-dev/jammy,now 1:1.2.11.dfsg-2ubuntu9 armhf [installed]
zlib1g/jammy,now 1:1.2.11.dfsg-2ubuntu9 armhf [installed]
